model,r2,mae,mse,rmse
RandomForest,0.8906456778387296,0.7048371420431789,1.0088418555244427,1.0044111984264426
Lasso,0.792851366427193,1.0473305489049565,1.9110375130372057,1.382402804191747
Ridge,0.7926482907873909,1.0455552199087317,1.9129109753862086,1.3830802490767513
LinearRegression,0.7922774714022588,1.0467036793280513,1.9163319477736493,1.384316418949674
